cep;dados_cep
59086105;"{""uf"": ""RN"", ""cep"": ""59086-105"", ""gia"": """", ""ibge"": """", ""bairro"": ""Neópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida Ayrton Senna - de 1126 a 1826 - lado par"", ""complemento"": """"}"
55750000;"{""uf"": ""PE"", ""cep"": ""55750-000"", ""gia"": """", ""ibge"": """", ""bairro"": """", ""unidade"": """", ""localidade"": ""Surubim"", ""logradouro"": """", ""complemento"": """"}"
59073380;"{""uf"": ""RN"", ""cep"": ""59073-380"", ""gia"": """", ""ibge"": """", ""bairro"": ""Planalto"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Tabajara"", ""complemento"": """"}"
59115030;"{""uf"": ""RN"", ""cep"": ""59115-030"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nossa Senhora da Apresentação"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Cascatinha"", ""complemento"": """"}"
59067440;"{""uf"": ""RN"", ""cep"": ""59067-440"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pitimbu"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Uirapuru"", ""complemento"": """"}"
59032420;"{""uf"": ""RN"", ""cep"": ""59032-420"", ""gia"": """", ""ibge"": """", ""bairro"": ""Alecrim"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Baía de São Marcos"", ""complemento"": """"}"
59050180;"{""uf"": ""RN"", ""cep"": ""59050-180"", ""gia"": """", ""ibge"": """", ""bairro"": ""Quintas"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Santa Tereza"", ""complemento"": """"}"
59062410;"{""uf"": ""RN"", ""cep"": ""59062-410"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Nova"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Vereadora Maria Queiroz"", ""complemento"": """"}"
59110710;"{""uf"": ""RN"", ""cep"": ""59110-710"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Professora Maria Arlete de Lima Nascimento"", ""complemento"": """"}"
59022540;"{""uf"": ""RN"", ""cep"": ""59022-540"", ""gia"": """", ""ibge"": """", ""bairro"": ""Barro Vermelho"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Meira Brandão"", ""complemento"": """"}"
59092280;"{""uf"": ""RN"", ""cep"": ""59092-280"", ""gia"": """", ""ibge"": """", ""bairro"": ""Ponta Negra"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Praia Cearazinho"", ""complemento"": """"}"
59064660;"{""uf"": ""RN"", ""cep"": ""59064-660"", ""gia"": """", ""ibge"": """", ""bairro"": ""Candelária"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Beatriz Ramalho"", ""complemento"": """"}"
59110390;"{""uf"": ""RN"", ""cep"": ""59110-390"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Araguari"", ""complemento"": """"}"
59110570;"{""uf"": ""RN"", ""cep"": ""59110-570"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Caraí"", ""complemento"": """"}"
59073240;"{""uf"": ""RN"", ""cep"": ""59073-240"", ""gia"": """", ""ibge"": """", ""bairro"": ""Planalto"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Maranata"", ""complemento"": """"}"
59138380;"{""uf"": ""RN"", ""cep"": ""59138-380"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Martelo Agalopado"", ""complemento"": """"}"
59032150;"{""uf"": ""RN"", ""cep"": ""59032-150"", ""gia"": """", ""ibge"": """", ""bairro"": ""Alecrim"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Mirabeau Pereira"", ""complemento"": """"}"
59071430;"{""uf"": ""RN"", ""cep"": ""59071-430"", ""gia"": """", ""ibge"": """", ""bairro"": ""Cidade da Esperança"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Cruz Alta"", ""complemento"": """"}"
59131510;"{""uf"": ""RN"", ""cep"": ""59131-510"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pajuçara"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Doutor Amaro Ienaga"", ""complemento"": """"}"
59129792;"{""uf"": ""RN"", ""cep"": ""59129-792"", ""gia"": """", ""ibge"": """", ""bairro"": ""Lagoa Azul"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Francisca Maria da Conceição"", ""complemento"": """"}"
59088280;"{""uf"": ""RN"", ""cep"": ""59088-280"", ""gia"": """", ""ibge"": """", ""bairro"": ""Neópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Eugenópolis"", ""complemento"": """"}"
59080450;"{""uf"": ""RN"", ""cep"": ""59080-450"", ""gia"": """", ""ibge"": """", ""bairro"": ""Neópolis"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Raimundo de Medeiros Dantas"", ""complemento"": """"}"
59030460;"{""uf"": ""RN"", ""cep"": ""59030-460"", ""gia"": """", ""ibge"": """", ""bairro"": ""Barro Vermelho"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Pacífico Medeiros"", ""complemento"": """"}"
59122735;"{""uf"": ""RN"", ""cep"": ""59122-735"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pajuçara"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Trovador Mário Siqueira"", ""complemento"": """"}"
59114286;"{""uf"": ""RN"", ""cep"": ""59114-286"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nossa Senhora da Apresentação"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Travessa José Luiz da Silva"", ""complemento"": """"}"
